"Questionnaire","Item","Category1","Category2","Category3","Category4","Category5","Category6"
"Automatic thought Questionnaire","1. I feel like I'm up against the world.","Affect","Self",NA,NA,NA,NA
"Automatic thought Questionnaire","2. I’m no good.","Self",NA,NA,NA,NA,NA
"Automatic thought Questionnaire","3. Why can’t I ever succeed?","Self","Cognition",NA,NA,NA,NA
"Automatic thought Questionnaire","4. No one understands me.","Self","Context",NA,NA,NA,NA
"Automatic thought Questionnaire","5. I’ve let people down.","Self","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","6. I don’t think I can go on.","Motivation","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","7. I wish I were a better person.","Self","Motivation",NA,NA,NA,NA
"Automatic thought Questionnaire","8. I’m so weak.","Self","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","9. My life’s not going the way I want it to.","Context","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","10.I’m so disappointed in myself.","Self","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","11.Nothing feels good anymore.","Affect","Attention",NA,NA,NA,NA
"Automatic thought Questionnaire","12.I can’t stand this anymore.","Affect","Motivation",NA,NA,NA,NA
"Automatic thought Questionnaire","13.I can’t get started.","Motivation","Cognition",NA,NA,NA,NA
"Automatic thought Questionnaire","14.What’s wrong with me?","Self","Cognition",NA,NA,NA,NA
"Automatic thought Questionnaire","15.I wish I were somewhere else.","Context","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","16.I can’t get things together.","Cognition","Self",NA,NA,NA,NA
"Automatic thought Questionnaire","17.I hate myself.","Self","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","18.I’m worthless.","Self","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","19.I wish I could just disappear.","Self","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","20.What’s the matter with me?","Self","Cognition",NA,NA,NA,NA
"Automatic thought Questionnaire","21.I’m a loser.","Self","Affect",NA,NA,NA,NA
"Automatic thought Questionnaire","22.My life is a mess.","Context","Self",NA,NA,NA,NA
"Automatic thought Questionnaire","23.I’m a failure.","Self","Affect",NA,NA,NA,NA
